date,raw_value,cost_adjusted_value
2026-02-04,102971.07,102960.02170357056
2026-02-05,102327.53,102302.27576709093
2026-02-06,102633.48,102596.72828367693
2026-02-10,102849.05,102801.51027477407
2026-02-11,103771.27,103723.73027477408
2026-02-12,103458.77,103411.23027477408
2026-02-13,103313.91,103231.80181325963
2026-02-17,103229.15,103127.48058523731
2026-02-18,104972.67,104871.00058523731
2026-02-19,105087.54,104983.78066648888
2026-02-20,107022.87,106919.11066648888
2026-02-24,106885.93,106752.60447832958
2026-02-25,106885.93,106752.60447832958
2026-02-26,107356.56,107195.20420033656
2026-02-27,106852.6,106663.14101159209
2026-03-03,107480.99,107281.58408011476
2026-03-04,107354.75,107144.31808094413
2026-03-05,107029.85,106816.99509001341
2026-03-06,107081.01,106862.77974366325
