date,raw_value,cost_adjusted_value
2026-02-04,103085.44,103056.27361406223
2026-02-05,103024.63,102987.39724756879
2026-02-06,103102.91,103065.67724756879
2026-02-10,103154.71,103117.4772475688
2026-02-11,103193.98,103156.74724756878
2026-02-12,103153.92,103116.68724756879
2026-02-13,103178.97,103141.73724756879
2026-02-17,103157.17,103119.93724756879
2026-02-18,103173.69,103136.45724756879
2026-02-19,103171.31,103134.07724756878
2026-02-20,103197.14,103159.90724756879
2026-02-24,103202.55,103165.31724756879
2026-02-25,103217.55,103180.31724756879
2026-02-26,103218.16,103180.92724756879
2026-02-27,103231.59,103194.35724756878
2026-03-03,103091.23,103053.99724756878
2026-03-04,103113.11,103075.87724756879
2026-03-05,103036.48,102999.24724756878
2026-03-06,103001.98,102964.74724756878
