date,raw_value,cost_adjusted_value
2026-02-04,103071.36,103041.42457613951
2026-02-05,102902.93,102872.13165078546
2026-02-06,103745.37,103714.28758587979
2026-02-10,103700.34,103668.74609220518
2026-02-11,103999.13,103967.53609220519
2026-02-12,103456.5,103424.90609220519
2026-02-13,103757.91,103725.44418695952
2026-02-17,103641.53,103608.02003712747
2026-02-18,103872.76,103839.19612685451
2026-02-19,103850.18,103815.28330683146
2026-02-20,104090.97,104055.95163181827
2026-02-24,104007.04,103972.02163181826
2026-02-25,104199.48,104164.04186970742
2026-02-26,104038.87,104002.6942642843
2026-02-27,104081.01,104044.45059006455
2026-03-03,103571.79,103535.1273418982
2026-03-04,103861.64,103824.97734189821
2026-03-05,103382.56,103345.8973418982
2026-03-06,102767.25,102730.57931620012
