date,raw_value,cost_adjusted_value
2026-02-04,103091.25,103062.37491381391
2026-02-05,103013.51,102984.6349138139
2026-02-06,103445.45,103416.5749138139
2026-02-10,103375.42,103346.54491381391
2026-02-11,103660.81,103631.93491381391
2026-02-12,103400.98,103372.1049138139
2026-02-13,103611.42,103582.54491381391
2026-02-17,103456.36,103427.48491381391
2026-02-18,103568.61,103539.73491381391
2026-02-19,103585.31,103556.43491381391
2026-02-20,103639.44,103610.56491381391
2026-02-24,103663.26,103634.3849138139
2026-02-25,103584.35,103555.47491381392
2026-02-26,103582.54,103553.6649138139
2026-02-27,103777.55,103748.67491381391
2026-03-03,103516.65,103487.7749138139
2026-03-04,103505.95,103477.0749138139
2026-03-05,103217.3,103188.42491381391
2026-03-06,103091.4,103062.5249138139
