date,raw_value,cost_adjusted_value
2026-02-04,103084.96,103055.85988916653
2026-02-05,103018.47,102981.3523629003
2026-02-06,103105.69,103068.5723629003
2026-02-10,103163.43,103126.3123629003
2026-02-11,103207.17,103170.0523629003
2026-02-12,103162.55,103125.4323629003
2026-02-13,103190.45,103153.3323629003
2026-02-17,103166.18,103129.0623629003
2026-02-18,103184.58,103147.4623629003
2026-02-19,103181.92,103144.8023629003
2026-02-20,103210.73,103173.6123629003
2026-02-24,103216.75,103179.6323629003
2026-02-25,103233.51,103196.3923629003
2026-02-26,103234.19,103197.0723629003
2026-02-27,103249.12,103212.0023629003
2026-03-03,103092.63,103055.5123629003
2026-03-04,103188.33,103148.42251764807
2026-03-05,102928.63,102888.72251764807
2026-03-06,102827.65,102787.28659217832
2026-03-10,102951.82,102911.45659217834
2026-03-11,102965.16,102924.79659217833
2026-03-12,102736.08,102695.71659217833
2026-03-13,102675.77,102635.40659217833
2026-03-17,102855.77,102815.40659217833
2026-03-18,102630.44,102589.34798608987
2026-03-19,102644.59,102603.49798608986
2026-03-20,102441.12,102400.02798608986
2026-03-24,102492.49,102451.39798608987
2026-03-25,102715.89,102674.79798608986
2026-03-26,102641.07,102599.1657949118
2026-03-27,102464.74,102420.31335391758
2026-04-01,102817.07,102772.49133680708
2026-04-02,102772.27,102726.98255687703
2026-04-07,102772.18,102726.69673764227
2026-04-08,103012.17,102966.68673764227
2026-04-09,102994.68,102949.19673764227
2026-04-10,102905.22,102859.73673764228
2026-04-14,103079.16,103032.80421027554
2026-04-15,103044.37,102998.01421027553
2026-04-16,103010.01,102963.65421027553
2026-04-17,103128.11,103081.75421027554
2026-04-21,102973.04,102926.68421027553
2026-04-22,103006.96,102960.60421027555
2026-04-23,102957.02,102910.66421027554
2026-04-24,102902.63,102856.27421027554
2026-04-28,102851.04,102804.68421027553
2026-04-29,102775.6,102729.24421027554
2026-04-30,102978.27,102931.91421027554
2026-05-01,102926.56,102880.20421027554
2026-05-05,102984.68,102938.32421027553
2026-05-06,103109.49,103063.13421027554
2026-05-07,102973.89,102927.53421027554
2026-05-08,102993.17,102946.81421027554
2026-05-21,103068.13,103021.77421027554
2026-05-22,103118.02,103071.66421027554
2026-05-26,103146.37,103100.01421027553
2026-05-27,103145.05,103098.69421027554
2026-05-28,103230.08,103183.72421027554
2026-05-29,103223.88,103177.05507432738
2026-06-02,103122.57,103075.74507432738
2026-06-03,103155.35,103108.52507432738
2026-06-04,103232.18,103185.35507432737
2026-06-05,103063.7,103016.87507432737
2026-06-09,103105.65,103058.82507432737
2026-06-10,103130.35,103083.52507432738
