date,raw_value,cost_adjusted_value
2026-02-02,100766.47,100766.16644024964
2026-02-03,101655.16,101654.5251607452
2026-02-04,102168.0,102160.30667008512
2026-02-05,101549.32,101527.99940823502
2026-02-06,101832.58,101802.62429842647
2026-02-10,102046.92,102001.94558612537
2026-02-11,102959.42,102914.35958721563
2026-02-12,102653.72,102608.54206477258
2026-02-13,102508.32,102433.36849003626
2026-02-17,102438.55,102343.04688331125
2026-02-18,104166.39,104070.62359046133
2026-02-19,104288.67,104190.83883925178
2026-02-20,106170.37,106072.02408114483
2026-02-24,106127.91,106006.40289895947
2026-02-25,106127.91,106006.40289895947
2026-02-26,106597.28,106454.12126076862
2026-02-27,106093.78,105915.12005210841
2026-03-03,106723.35,106536.32778327123
2026-03-04,106600.05,106396.13932832147
2026-03-05,106281.62,106075.33739206432
2026-03-06,106330.46,106117.53890083707
