date,raw_value,cost_adjusted_value
2026-02-02,100764.57,100764.57
2026-02-03,101667.69,101667.69
2026-02-04,102192.82,102187.2738653622
2026-02-05,101559.45,101540.36770074564
2026-02-06,101844.16,101814.49975885109
2026-02-10,102058.49,102012.77997845478
2026-02-11,102972.8,102927.08997845478
2026-02-12,102661.9,102616.18997845477
2026-02-13,102515.78,102435.95707474771
2026-02-17,102446.89,102345.16836854097
2026-02-18,104173.52,104071.79836854097
2026-02-19,104286.22,104182.4394006668
2026-02-20,106198.75,106094.9694006668
2026-02-24,106066.84,105934.12276319037
2026-02-25,106066.84,105934.12276319037
2026-02-26,106535.56,106377.4038067617
2026-02-27,106031.55,105844.22119869334
2026-03-03,106661.12,106462.33896243424
2026-03-04,106537.82,106328.17561359084
2026-03-05,106219.38,106007.30487124108
2026-03-06,106268.22,106048.0515764733
