date,raw_value,cost_adjusted_value
2026-02-02,100766.47,100766.16644024964
2026-02-03,101655.16,101654.5251607452
2026-02-04,102168.0,102160.30667008512
2026-02-05,101549.32,101527.99940823502
2026-02-06,101832.58,101802.62429842647
2026-02-10,102046.92,102001.94558612537
2026-02-11,102959.42,102914.35958721563
2026-02-12,102653.72,102608.54206477258
2026-02-13,102508.32,102433.36849003626
2026-02-17,102438.55,102343.04688331125
2026-02-18,104166.39,104070.62359046133
2026-02-19,104288.67,104190.83883925178
2026-02-20,106170.37,106072.02408114483
2026-02-24,106127.91,106006.40289895947
2026-02-25,106127.91,106006.40289895947
2026-02-26,106597.28,106454.12126076862
2026-02-27,106093.78,105915.12005210841
2026-03-03,106723.35,106536.32778327123
2026-03-04,106600.05,106396.13932832147
2026-03-05,106281.62,106075.33739206432
2026-03-06,106330.46,106117.53890083707
2026-03-10,105992.82,105759.37655284563
2026-03-11,105867.78,105634.17336369155
2026-03-12,105131.18,104894.59408280512
2026-03-13,105166.01,104917.64955477102
2026-03-17,105133.77,104883.98889044933
2026-03-18,104755.99,104506.20889044933
2026-03-19,104122.11,103870.28348408059
2026-03-20,104030.46,103776.17335492987
2026-03-24,103862.84,103606.15064626047
2026-03-25,103925.97,103667.87529552929
2026-03-26,103960.96,103701.36890917672
2026-03-27,104052.95,103791.31049380479
2026-04-01,104205.35,103942.14149571607
2026-04-02,104189.67,103924.91906873893
2026-04-07,104489.49,104202.27890603748
2026-04-08,105941.14,105653.3317357824
2026-04-09,106085.38,105796.64780878871
2026-04-10,105659.32,105367.29069351936
2026-04-14,107822.9,107530.36170320395
2026-04-15,108585.36,108292.23750328149
2026-04-16,108624.06,108330.48589516955
2026-04-17,109687.68,109390.95365975828
2026-04-21,109198.13,108900.93357526942
2026-04-22,109763.83,109463.94321521965
2026-04-23,108950.37,108649.68472060951
2026-04-24,108939.91,108638.42813933187
2026-04-28,108525.65,108223.18717705747
2026-04-29,108109.14,107805.62261082469
2026-04-30,108880.65,108575.55854539984
2026-05-01,108915.73,108610.00355842688
2026-05-05,109197.59,108882.71890558093
2026-05-06,109726.1,109410.6843082717
2026-05-07,109580.86,109262.04376830302
2026-05-08,109663.1,109343.96857677594
2026-05-21,109569.72,109249.9850253892
2026-05-22,109658.16,109337.80619828324
2026-05-26,109773.51,109451.74647413436
2026-05-27,109813.89,109492.12647413436
2026-05-28,109932.45,109609.84191720861
2026-05-29,109950.59,109627.1155514736
2026-06-02,110392.95,110055.04028784948
2026-06-03,110443.14,110104.92263153745
2026-06-04,110143.17,109796.52017562561
2026-06-05,109578.8,109231.20045969497
2026-06-09,109520.08,109171.6166010158
2026-06-10,109635.0,109286.5366010158
