date,raw_value,cost_adjusted_value
2026-02-02,100759.19,100758.5606539582
2026-02-03,101651.98,101650.80856900956
2026-02-04,102178.37,102168.82990806767
2026-02-05,101572.59,101549.3886392309
2026-02-06,101853.67,101818.98397011169
2026-02-10,102068.01,102018.73930256524
2026-02-11,102980.51,102931.17409251037
2026-02-12,102669.45,102619.82066422033
2026-02-13,102525.65,102453.2728733765
2026-02-17,102451.04,102352.46975111139
2026-02-18,104187.92,104088.78795139673
2026-02-19,104308.77,104207.04614181466
2026-02-20,106206.46,106104.12917460747
2026-02-24,106133.9,106004.84472865131
2026-02-25,106133.9,106004.84472865131
2026-02-26,106603.27,106448.55458308585
2026-02-27,106099.78,105914.02670221198
2026-03-03,106729.35,106532.95446324487
2026-03-04,106606.05,106398.27450480309
2026-03-05,106287.62,106076.11591813828
2026-03-06,106336.46,106117.6183272966
2026-03-10,105998.82,105763.05783876845
2026-03-11,105881.94,105646.11162531415
2026-03-12,105167.78,104931.06453105815
2026-03-13,105204.42,104953.29148195816
2026-03-17,105169.03,104916.35647927446
2026-03-18,104799.74,104547.06647927446
2026-03-19,104152.93,103899.4200972397
2026-03-20,104041.51,103786.802959376
2026-03-24,103933.88,103678.27138041845
2026-03-25,103940.26,103683.61556654588
2026-03-26,103943.44,103686.01914447134
2026-03-27,104056.25,103797.17467105549
2026-04-01,104208.32,103946.99928267016
2026-04-02,104234.19,103971.71645772843
2026-04-07,104533.85,104244.79030413083
2026-04-08,105935.31,105645.35684367569
2026-04-09,106086.21,105795.19764324719
2026-04-10,105647.04,105352.19730330678
2026-04-14,107801.92,107505.87376682593
2026-04-15,108559.74,108262.31488659733
2026-04-16,108614.02,108315.78057962822
2026-04-17,109683.38,109379.8907298303
2026-04-21,109229.5,108925.38749507461
2026-04-22,109778.64,109472.93625301159
2026-04-23,108988.7,108681.94571962119
2026-04-24,108987.03,108678.76272835252
2026-04-28,108555.1,108245.75428449812
2026-04-29,108137.51,107827.09232105562
2026-04-30,108947.74,108635.7018288094
2026-05-01,108983.81,108670.89807251176
2026-05-05,109122.01,108799.25252365322
2026-05-06,109602.88,109279.55788748935
2026-05-07,109451.67,109125.21639623406
2026-05-08,109540.64,109213.3681010479
2026-05-21,109294.1,108966.34382899948
2026-05-22,109399.52,109071.1786014573
2026-05-26,109507.85,109178.57496406994
2026-05-27,109613.07,109283.79496406994
2026-05-28,109821.23,109491.68245619108
2026-05-29,109791.81,109459.40776776584
2026-06-02,110203.96,109852.7244585889
2026-06-03,110288.98,109936.5550960922
2026-06-04,109978.28,109617.50795840383
2026-06-05,109512.19,109150.130123153
2026-06-09,109484.32,109121.52491736777
2026-06-10,109603.76,109240.96491736776
