date,raw_value,cost_adjusted_value
2026-02-02,100766.47,100766.16644024964
2026-02-03,101655.16,101654.5251607452
2026-02-04,102168.0,102160.30667008512
2026-02-05,101549.32,101527.99940823502
2026-02-06,101832.58,101802.62429842647
2026-02-10,102046.92,102001.94558612537
2026-02-11,102959.42,102914.35958721563
2026-02-12,102653.72,102608.54206477258
2026-02-13,102508.32,102433.36849003626
2026-02-17,102438.55,102343.04688331125
2026-02-18,104166.39,104070.62359046133
2026-02-19,104288.67,104190.83883925178
2026-02-20,106170.37,106072.02408114483
2026-02-24,106127.91,106006.40289895947
2026-02-25,106127.91,106006.40289895947
2026-02-26,106597.28,106454.12126076862
2026-02-27,106093.78,105915.12005210841
2026-03-03,106723.35,106536.32778327123
2026-03-04,106600.05,106396.13932832147
2026-03-05,106281.62,106075.33739206432
2026-03-06,106330.46,106117.53890083707
2026-03-10,105992.82,105759.37655284563
2026-03-11,105867.78,105634.17336369155
2026-03-12,105131.18,104894.59408280512
2026-03-13,105166.01,104917.64955477102
2026-03-17,105133.77,104883.98889044933
2026-03-18,104755.99,104506.20889044933
2026-03-19,104122.11,103870.28348408059
2026-03-20,104030.46,103776.17335492987
2026-03-24,103862.84,103606.15064626047
2026-03-25,103925.97,103667.87529552929
2026-03-26,103960.96,103701.36890917672
2026-03-27,104052.95,103791.31049380479
2026-04-01,104205.35,103942.14149571607
2026-04-02,104189.67,103924.91906873893
2026-04-07,104489.63,104202.40281207742
2026-04-08,105942.15,105654.32564182233
2026-04-09,106085.88,105797.34515722873
2026-04-10,105658.12,105366.64440820465
2026-04-14,107823.1,107530.8746566825
2026-04-15,108587.5,108294.65622388871
2026-04-16,108624.49,108330.93295359111
2026-04-17,109686.48,109389.29716431866
2026-04-21,109198.18,108900.38113790282
2026-04-22,109764.61,109465.61639795847
2026-04-23,108951.17,108651.4312838053
2026-04-24,108946.66,108646.21521626147
2026-04-28,108531.55,108229.99189876922
2026-04-29,108117.7,107815.43489447498
2026-04-30,108886.57,108582.89175530613
2026-05-01,108928.23,108623.74628699308
2026-05-05,109218.57,108906.09104131529
2026-05-06,109754.7,109441.520610277
2026-05-07,109608.14,109291.52932641767
2026-05-08,109693.89,109376.96413489059
2026-05-21,109600.17,109282.65540152177
2026-05-22,109691.15,109373.01657441581
2026-05-26,109811.49,109491.83497779658
2026-05-27,109852.26,109532.60497779657
2026-05-28,109981.54,109661.36770788723
2026-05-29,109996.97,109675.55540538393
2026-06-02,110440.81,110103.0008722747
2026-06-03,110495.11,110156.95835381096
2026-06-04,110197.62,109851.5653079715
2026-06-05,109633.73,109286.18773428489
2026-06-09,109579.15,109230.7741586113
2026-06-10,109695.73,109347.3541586113
