date,raw_value,cost_adjusted_value
2026-02-02,100769.82,100769.62659782615
2026-02-03,101649.8,101649.280900046
2026-02-04,102151.1,102144.93438358318
2026-02-05,101536.02,101515.98600617408
2026-02-06,101818.77,101788.19099704166
2026-02-10,102033.11,101987.69328537605
2026-02-11,102947.41,102901.99328537605
2026-02-12,102639.31,102593.78015568912
2026-02-13,102493.6,102418.23226551928
2026-02-17,102423.83,102325.81185132537
2026-02-18,104151.52,104053.12589892253
2026-02-19,104273.43,104173.28210143067
2026-02-20,106163.05,106062.38689047933
2026-02-24,106112.23,105985.58008362175
2026-02-25,106112.23,105985.58008362175
2026-02-26,106581.6,106430.6277852536
2026-02-27,106078.23,105890.95470230938
2026-03-03,106707.8,106511.96394201706
2026-03-04,106584.5,106377.13176914086
2026-03-05,106266.07,106054.96326660238
2026-03-06,106314.91,106094.29183358376
2026-03-10,105977.27,105734.60237331517
2026-03-11,105860.39,105617.59572477978
2026-03-12,105146.23,104901.1566363514
2026-03-13,105182.87,104923.09305540934
2026-03-17,105147.48,104885.91191793086
2026-03-18,104778.19,104516.62191793087
2026-03-19,104131.38,103866.73697628971
2026-03-20,104019.96,103753.3698899908
2026-03-24,103912.33,103644.5756102417
2026-03-25,103918.71,103650.38517245873
2026-03-26,103921.89,103652.42447211228
2026-03-27,104034.7,103763.99563088016
2026-04-01,104186.77,103914.92394397699
2026-04-02,104212.64,103938.94152802692
2026-04-07,104511.89,104208.10378505307
2026-04-08,105919.32,105614.63915104952
2026-04-09,106070.89,105765.64625710502
2026-04-10,105634.27,105326.19380384796
2026-04-14,107799.57,107490.809955653
2026-04-15,108562.37,108252.76667457807
2026-04-16,108600.26,108290.0206511187
2026-04-17,109649.7,109335.75743926683
2026-04-21,109168.43,108853.77183509652
2026-04-22,109745.08,109427.27295440571
2026-04-23,108937.03,108618.57341052884
2026-04-24,108932.21,108612.94382454192
2026-04-28,108525.13,108204.67344133108
2026-04-29,108117.89,107796.52220184225
2026-04-30,108883.95,108561.31719495682
2026-05-01,108935.59,108612.46287557059
2026-05-05,109231.59,108899.00595398345
2026-05-06,109767.02,109433.85426155807
2026-05-07,109622.36,109286.17085745966
2026-05-08,109705.83,109369.32022896389
2026-05-21,109612.64,109275.48707418774
2026-05-22,109695.93,109358.35834987805
2026-05-26,109815.05,109475.78669258268
2026-05-27,109845.23,109505.597727885
2026-05-28,109963.42,109623.39039188692
2026-05-29,109977.67,109636.30952486268
2026-06-02,110424.22,110064.92585458624
2026-06-03,110477.24,110117.44996293462
2026-06-04,110169.19,109800.715616962
2026-06-05,109615.09,109244.9158475868
2026-06-09,109550.41,109179.53397803214
2026-06-10,109662.86,109291.98397803213
