date,raw_value,cost_adjusted_value
2026-02-02,100766.47,100766.15350620938
2026-02-03,101655.16,101654.70228678234
2026-02-04,102168.0,102160.07142965487
2026-02-05,101549.32,101533.98891469635
2026-02-06,101832.58,101804.88757896522
2026-02-10,102046.92,102007.00090348975
2026-02-11,102959.42,102919.43524972325
2026-02-12,102653.72,102613.68021498756
2026-02-13,102508.32,102443.27869071576
2026-02-17,102438.55,102354.9497913846
2026-02-18,104166.39,104082.41426420995
2026-02-19,104288.67,104203.51889019762
2026-02-20,106170.37,106084.59889445968
2026-02-24,106127.91,106019.67934224213
2026-02-25,106127.91,106019.67934224213
2026-02-26,106597.28,106461.24500835569
2026-02-27,106093.78,105925.40125869641
2026-03-03,106723.35,106548.8410933588
2026-03-04,106600.05,106415.8107373576
2026-03-05,106281.62,106091.24191411765
2026-03-06,106330.46,106132.25261246887
2026-03-10,105992.82,105775.89119312551
2026-03-11,105867.78,105650.71525268236
2026-03-12,105131.18,104913.07488366257
2026-03-13,105166.01,104936.69273467532
2026-03-17,105133.77,104901.25830367148
2026-03-18,104755.99,104523.47830367148
2026-03-19,104122.11,103887.16824505752
2026-03-20,104030.46,103793.96471324208
2026-03-24,103862.84,103624.19439143165
2026-03-25,103925.97,103685.89314271622
2026-03-26,103960.96,103719.19771304526
2026-03-27,104052.95,103809.64348388762
2026-04-01,104205.35,103960.4295066876
2026-04-02,104189.67,103943.90245632068
2026-04-07,104489.49,104217.4131418664
2026-04-08,105941.14,105668.45939860359
2026-04-09,106085.38,105811.73880917899
2026-04-10,105659.32,105382.4573504442
2026-04-14,107822.9,107545.536372999
2026-04-15,108585.36,108307.59556436063
2026-04-16,108624.06,108345.84729761748
2026-04-17,109687.68,109406.66178401487
2026-04-21,109198.13,108916.56132839138
2026-04-22,109763.83,109480.33156440857
2026-04-23,108950.37,108665.84083618525
2026-04-24,108939.91,108654.50289338107
2026-04-28,108525.65,108239.05479590861
2026-04-29,108109.14,107821.12773572632
2026-04-30,108880.65,108590.65210817014
2026-05-01,108915.73,108625.10494144466
2026-05-05,109197.59,108896.228791728
2026-05-06,109726.1,109424.23373793285
2026-05-07,109580.86,109276.05100124535
2026-05-08,109663.1,109357.9474509823
2026-05-21,109569.72,109263.8305012288
2026-05-22,109658.16,109351.71880647975
2026-05-26,109773.51,109464.85095657944
2026-05-27,109813.89,109505.23095657944
2026-05-28,109932.45,109623.32464380369
2026-05-29,109950.59,109640.09481981449
2026-06-02,110392.95,110068.56759278315
2026-06-03,110443.14,110118.42869513208
2026-06-04,110143.17,109809.43683071961
2026-06-05,109578.8,109244.17426356606
2026-06-09,109520.08,109184.39523174058
2026-06-10,109635.0,109299.31523174058
