date,raw_value,cost_adjusted_value
2026-02-02,100764.57,100764.57
2026-02-03,101667.69,101667.69
2026-02-04,102178.12,102172.05017776098
2026-02-05,101555.61,101538.49916858807
2026-02-06,101849.42,101818.00581354657
2026-02-10,102063.76,102010.18781942724
2026-02-11,102976.16,102922.23211111788
2026-02-12,102668.04,102613.72798271805
2026-02-13,102518.93,102433.78589076079
2026-02-17,102450.35,102342.91407003098
2026-02-18,104175.8,104068.36407003098
2026-02-19,104289.58,104180.33598238805
2026-02-20,106199.05,106089.80598238805
2026-02-24,106080.06,105954.18311255716
2026-02-25,106080.06,105954.18311255716
2026-02-26,106533.9,106381.68762683838
2026-02-27,106035.35,105850.32401305196
2026-03-03,106664.92,106471.96535124612
2026-03-04,106541.62,106328.9724225307
2026-03-05,106223.19,106006.24266488149
2026-03-06,106272.03,106047.65016313588
