symbol,asset_class,sector,leverage_flag,eligible
SPY,equity,broad,0,1
QQQ,equity,broad,0,1
IWM,equity,broad,0,1
DIA,equity,broad,0,1
RSP,equity,broad,0,1
VTI,equity,broad,0,1
VOO,equity,broad,0,1
IVV,equity,broad,0,1
VT,equity,global,0,1
VEA,equity,international_dev,0,1
VWO,equity,international_em,0,1
EFA,equity,international_dev,0,1
EEM,equity,international_em,0,1
EWJ,equity,country_japan,0,1
EWZ,equity,country_brazil,0,1
FXI,equity,country_china,0,1
INDA,equity,country_india,0,1
VGK,equity,region_europe,0,1
ARKK,equity,theme_innovation,0,1
XLK,equity,sector_tech,0,1
XLF,equity,sector_financials,0,1
XLE,equity,sector_energy,0,1
XLV,equity,sector_healthcare,0,1
XLI,equity,sector_industrials,0,1
XLY,equity,sector_cons_disc,0,1
XLP,equity,sector_cons_staples,0,1
XLU,equity,sector_utilities,0,1
XLB,equity,sector_materials,0,1
XLC,equity,sector_comm,0,1
VNQ,equity,sector_reit,0,1
IYR,equity,sector_reit,0,1
SOXX,equity,industry_semis,0,1
SMH,equity,industry_semis,0,1
XBI,equity,industry_biotech,0,1
IBB,equity,industry_biotech,0,1
KRE,equity,industry_regional_banks,0,1
XRT,equity,industry_retail,0,1
ITA,equity,industry_aerospace_defense,0,1
IYT,equity,industry_transport,0,1
MTUM,equity,factor_momentum,0,1
QUAL,equity,factor_quality,0,1
VLUE,equity,factor_value,0,1
USMV,equity,factor_minvol,0,1
VIG,equity,factor_dividend_growth,0,1
SCHD,equity,factor_dividend,0,1
VUG,equity,style_growth,0,1
VTV,equity,style_value,0,1
TLT,bond,treas_long,0,1
IEF,bond,treas_intermediate,0,1
SHY,bond,treas_short,0,1
TIP,bond,treas_tips,0,1
LQD,bond,credit_investment_grade,0,1
HYG,bond,credit_high_yield,0,1
AGG,bond,aggregate,0,1
BND,bond,aggregate,0,1
MUB,bond,muni,0,1
GLD,commodity,gold,0,1
SLV,commodity,silver,0,1
DBC,commodity,broad_commodities,0,1
USO,commodity,oil,0,1
UNG,commodity,natural_gas,0,1
UUP,fx,usd,0,1
FXE,fx,eur,0,1
VIXY,vol,volatility,0,1
